Depth,Sample,Permeability,lPerm,Porosity,PRT,ROCK_INDEX,G1,PD1,G2,PD2,BV1,BV2,Mode,lMode,Reference_Set,Pc,lPc,BVOCC,lBVOCC,dBv,Microns,lMicrons
98,8,1186,3.07408468902824,0.2823,M_1,1,0.75,1.39,0.15,180,26.43,1.8,32.493013185584,1.51178998678956,Rosetta,206.08,2.31403584567972,18.8544699391574,1.27541432747434,1.15106956670181,1.02872670807453,0.012300015249033
99,8,1186,3.07408468902824,0.2823,M_1,1,0.75,1.39,0.15,180,26.43,1.8,32.493013185584,1.51178998678956,Rosetta,412.16,2.6150658413437,20.7042266762547,1.31605901380447,1.84975673709728,0.514363354037267,-0.288729980414948
100,8,1186,3.07408468902824,0.2823,M_1,1,0.75,1.39,0.15,180,26.43,1.8,32.493013185584,1.51178998678956,Rosetta,824.32,2.91609583700768,21.6052875820095,1.3345600514595,0.901060905754807,0.257181677018634,-0.589759976078929
101,8,1186,3.07408468902824,0.2823,M_1,1,0.75,1.39,0.15,180,26.43,1.8,32.493013185584,1.51178998678956,Rosetta,1648.64,3.21712583267166,22.2518119946785,1.34736538193486,0.64652441266902,0.128590838509317,-0.89078997174291
102,8,1186,3.07408468902824,0.2823,M_1,1,0.75,1.39,0.15,180,26.43,1.8,32.493013185584,1.51178998678956,Rosetta,3297.28,3.51815582833564,22.7654162430084,1.35727559535974,0.513604248329902,0.064295419254658,-1.19181996740689
103,8,1186,3.07408468902824,0.2823,M_1,1,0.75,1.39,0.15,180,26.43,1.8,32.493013185584,1.51178998678956,Rosetta,6594.56,3.81918582399962,23.1907773523839,1.3653153063867,0.425361109375459,0.032147709627329,-1.49284996307087
104,8,1186,3.07408468902824,0.2823,M_1,1,0.75,1.39,0.15,180,26.43,1.8,32.493013185584,1.51178998678956,Rosetta,13189.12,4.12021581966361,23.5514836579626,1.37201827130229,0.360706305578695,0.016073854813665,-1.79387995873485
105,8,1186,3.07408468902824,0.2823,M_1,1,0.75,1.39,0.15,180,26.43,1.8,32.493013185584,1.51178998678956,Rosetta,26378.24,4.42124581532759,23.8623373963379,1.37771298202556,0.310853738375314,0.008036927406832,-2.09490995439883
106,13,810.94499,2.90899139508695,0.2666,M_1,1,0.94,1.58,0.11,280,21.5,5.16,22.9749384082725,1.36125435579337,Rosetta,1.61,0.20682587603185,0.001,-3,0,131.67701863354,2.1195099848969
107,13,810.94499,2.90899139508695,0.2666,M_1,1,0.94,1.58,0.11,280,21.5,5.16,22.9749384082725,1.36125435579337,Rosetta,3.22,0.507855871695831,1.03145340413406,0.013449613516597,1.03045340413406,65.8385093167702,1.81847998923292
108,13,810.94499,2.90899139508695,0.2666,M_1,1,0.94,1.58,0.11,280,21.5,5.16,22.9749384082725,1.36125435579337,Rosetta,6.44,0.808885867359812,4.61313816658835,0.663996462214661,3.58168476245429,32.9192546583851,1.51744999356894
109,13,810.94499,2.90899139508695,0.2666,M_1,1,0.94,1.58,0.11,280,21.5,5.16,22.9749384082725,1.36125435579337,Rosetta,12.88,1.10991586302379,7.67019961418029,0.884806666453407,3.05706144759195,16.4596273291925,1.21641999790496
